RESPONSABLE,ESTATUS,FECHA_INICIO,FECHA_FIN
EDUARDO MANZANARES,Completed,01/01/23,05/01/23
EDUARDO MANZANARES,Done,10/01/23,12/01/23
EDUARDO MANZANARES,Completed,15/01/23,20/01/23
SEBASTIAN PADILLA,Completed,02/01/23,10/01/23
SEBASTIAN PADILLA,In Progress,15/01/23,
SEBASTIAN PADILLA,Done,20/01/23,25/01/23
RAMIRO RODRIGUEZ,Completed,05/01/23,06/01/23
RAMIRO RODRIGUEZ,Done,08/01/23,09/01/23
JUDITH ECHAVARRIA,Done,01/02/23,05/02/23
JUDITH ECHAVARRIA,Completed,10/02/23,15/02/23
JUDITH ECHAVARRIA,Done,20/02/23,22/02/23
EDUARDO TERAN,Completed,03/03/23,10/03/23
EDUARDO TERAN,Done,15/03/23,16/03/23
ANGEL SALINAS,Done,04/04/23,08/04/23
ANGEL SALINAS,Completed,01/04/23,02/04/23
ANGEL SALINAS,Completed,10/04/23,14/04/23
RANDOM USER,Completed,01/01/23,02/01/23
